id,sentence,target
36,  ` sophisticated ' viewers who refuse to admit that they do n't like it will likely call it ` challenging ' to their fellow,-
37,"  me no da accents so good , but i thoroughly enjoyed the love story scott is turning in some delightful work on indie projects",+
38,"  makes s m seem very romantic , and gyllenhaal is a delight",+
39,"  a bland , pretentious mess",-
40,"  the final result makes for adequate entertainment , i , but anyone who has seen chicago on stage will leave the theater feeling they 've watched nothing but a pale imitation of the real deal",-
41,"  this is not the undisputed worst boxing movie ever , but it 's certainly not a champion the big is the audience",-
42,"  the entire movie is about a boring , sad man being boring and sad",-
43,"  trouble every day is a success in some sense , but it 's hard to like a film so cold and dead",-
44,  this is a heartfelt story it just is n't a very involving one,-
45,"  some episodes work , some do n't",-
46,"  the director , with his fake backdrops and pacing , never settles on a consistent tone",-
47,"  the , most insulting movie of 2002 's first quarter",-
48,  a fanciful drama about napoleon 's last years and his surprising discovery of love and,+
49,"  it 's pretty and only makeup deep , but bogdanovich ties it together with and an affection for the period",+
50,"  as antonia is into this newfangled community , the film settles in and becomes compulsively watchable in a guilty pleasure , daytime drama sort of fashion",+
51,"  fresh and raw like a blown out vein , narc takes a walking dead , cop flick and beats new life into it",+
52,"  it 's a lovely , eerie film that casts an odd , spell",+
53,"  watching war , you come to believe that nachtwey hates the wars he shows and with the victims he reveals",+
54,"  this slow moving swedish film offers not even a hint of joy , to focus on the of martin as he in and on the at his own birthday party",-
55,"  in , is not just the spice , but at the heart of more universal",+
56,  able to provide insight into a fascinating part of theater history,+
57,"  muddled , simplistic and more than a little pretentious",-
58,"  this series should have died long ago , but they keep bringing it back another day as punishment for paying money to see the last james bond movie",-
59,"  sheridan had a wonderful account to work from , but , curiously , he waters it down , turning and vulnerability into light reading",-
60,  the concept is a hoot the trailer is a the movie is a dud,-
61,"  the year 's surprise , a movie that deals with a real subject in an always surprising way",+
62,"  leigh 's daring here is that without once denying the lives of people on the economic of 's legacy , he on the importance of those moments when people can connect and express their love for each other",+
63,  throwing it all away for the fleeting joys of love 's brief moment,+
64,"  there might be some sort of credible gender provoking philosophy here , but who the hell cares ?",-
65,"  just like the lots of ham , lots of cheese , with a sickly sweet coating to disguise its until just after ( or during ) of its second half",-
66,"  the pairing does sound promising in theory but their lack of chemistry makes eddie murphy and robert deniro in showtime look like old , familiar vaudeville partners",-
67,"  the director and her capable cast appear to be caught in a heady of new age inspired good intentions , but the spell they cast is n't the least bit mesmerizing",-
68,  manages to show life in all of its banality when the is quite the,-
69,"  it proves quite compelling as an intense , brooding character study",+
70,  the best script that besson has written in years,+
71,"  deadly dull , pointless meditation on in a gone to hotel",-
72,"  nair 's cast is so large it 's altman esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion",+
73,"  t his does n't even have potential as a cult film , as it 's too loud to shout at the screen",-
74,"  thanks to the ch teau 's balance of , narrative and serious , almost every relationship and personality in the film surprises",+
75,  leaks from every pore,-
76,"  mcgrath has deftly dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from poverty to courage and happiness",+
77,"  this is a raw and disturbing tale that took five years to make , and the 's absorbing narrative is a heart wrenching showcase indeed",+
78,"  trapped presents a frightening and compelling ` what if ? ' scenario that will give most parents pause then , something terrible happens",-
79,  gently humorous and touching,+
80,  a solid and piece of moviemaking with passion and attitude,+
81,"  if this disposable has one wild card , it 's john , who 's simply as a spanish with a foot",-
82,  heaven is a haunting dramatization of a couple 's moral,+
83,  some stunning visuals and some staggeringly boring cinema,-
84,  and 's extended bedroom sequence is so intimate and sensual and funny and psychologically self revealing that it makes most of what passes for sex in the movies look like cheap,+
85,"  's professional success means she must be a failure at life , because she 's driven by ambition and does n't know how to have fun",-
86,"  mr caine and mr fraser are the whole show here , with their memorable and resourceful performances",+
87,"  i guess it just goes to show that if you give a filmmaker an amount of phony blood , nothing good can happen",-
88,"  however sincere it may be , the rising place never quite its own existence",-
89,"  feels less like it 's about teenagers , than it was written by teenagers",-
90,"  please , someone , stop eric schaeffer before he makes another film",-
91,"  the of action , xxx is a blast of , rated for excitement and vin diesel is the man",+
92,  douglas mcgrath 's nicholas nickleby does dickens as it should be done,+
93,"  after seeing swept away , i feel sorry for madonna",-
94,  obstacles are too easily overcome and there is n't much in the way of character development in the script,-
95,  the story the movie tells is of brian de palma 's to the junk suspense tropes that have all but his career,-
96,"  the special effects and many scenes of look as good or better than in the original , while the oscar winning sound and james 's rousing score make good use of the hefty system",+
97,"  from funny to shattering and featuring some of the year 's best acting , personal velocity plenty of dramatic momentum",+
98,  if steven soderbergh 's ` solaris ' is a failure it is a glorious failure,+
99,"  the streets , shot by cinematographer michael , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them",-
100,"  call me a cold hearted for not being able to enjoy a mindless action movie , but i believe a movie can be mindless without being the peak of all things insipid",-
101,  for the of the macabre,-
102,"  a stirring , funny and finally transporting re of beauty and the beast and horror films",+
103,"  the dose is strong and funny , for the first 15 minutes anyway after that , the potency dramatically",-
104,  a moving and stark reminder that the of war reach much further than we imagine,+
105,"  the vitality of the actors keeps the intensity of the film high , even as the blend together",+
106,"  's script is a gem his characters are engaging , intimate and the dialogue is realistic and greatly moving the scope of the family is large and we grow attached to their lives , full of strength , warmth and vitality",+
107,"  as and demonstrate with such insight and celebratory verve , the cockettes were n't as much about gender , sexual or political agitprop as they were simply a triumph of the human will to , connect and create",+
108,"  as elegantly crafted as it often is , anderson 's movie is essentially a one trick that , hampered by an script , ultimately pulls up lame",-
109,  like mike is n't interested in old cliches it wants to them with a taste of new humor,+
110,"  most fish stories are a little peculiar , but this is one that should be thrown back in the river",-
111,  it was a dark and night,-
112,  too clumsy in key moments to make a big splash,-
113,"  clever and unflinching in its comic , slap her is a small but rewarding comedy that takes aim at contemporary southern and never lets up",+
114,"  whether seen on a 10 television screen or at your local multiplex , the edge of your seat , educational antics of steve irwin are entertainment",+
115,"  's story is an epic , but also a tragedy , the record of a , who was also the ( and ultimately the victim ) of history",+
116,  greengrass ( working from don 's script ) the larger political picture of the situation in in favour of an approach that throws one in the thick of a truly frightening situation,+
117,"  using a stock plot , about a boy just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater",+
118,  a really good premise is away in middle of the road blandness,-
119,"  weird , vulgar comedy that 's definitely an taste",+
120,"  a of wacky sight gags , outlandish color schemes , and corny visual that can be appreciated equally as an abstract frank comedy and as a playful of the artist 's career",+
121,"  it 's incredible the number of stories the holocaust has generated just when you think that every possible angle has been exhausted by , another new film emerges with yet another remarkable yet shockingly little known perspective",+
122,"  scooby doo does n't know if it wants to be a retro exercise in campy for older fans or a silly , esque kiddie flick",-
123,"  confessions is n't always coherent , but it 's comic and surprisingly touching , so hold the gong",+
124,"  if it 's possible for a sequel to outshine the original , then does just that",+
125,"  this extremely unfunny film in at 80 minutes , but feels twice as long",-
126,"  it looks closely , insightfully at fragile , complex relationships",+
127,"  holofcener 's lovely and amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick flicks by female with a satirical style",+
128,"  if this movie were a book , it would be a page , you ca n't wait to see what happens next",+
129,"  the performers are so spot on , it is hard to anyone else in their roles",+
130,  each scene of routine the film never manages to generate a single threat of suspense,-
131,"  the film hinges on its performances , and both leads are up to the task",+
132,  barely goes beyond comic book status,-
133,"  it 's this memory as identity that gives secret life its intermittent unease , that long held are indeed reality , and that them the self",+
134,  but oddly riveting documentary,+
135,"  fast , frantic and fun , but also soon forgotten",+
136,"  it 's not exactly worth the bucks to the full price for a date , but when it comes out on video , it 's well worth a rental",-
137,"  an enthralling premise , the film is by uneven dialogue and plot lapses",-
138,  some movies blend together as they become distant memories mention solaris five years from now and i 'm sure those who saw it will have an opinion to share,+
139,  a knowing sense of humor and a lot of warmth son of the bride,+
140,"  a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work is charming , is moving , is funny and looks professional",+
141,  and lewis are hilarious throughout,+
142,  amari has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances,+
143,"  never engaging , utterly predictable and completely void of anything remotely interesting or suspenseful",-
144,"  there 's no effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one",+
145,"  its , steven spielberg , has n't had so much fun in two decades , since he was jones around the globe in search of a giant",+
146,  it 's sweet but just a little bit too precious at the start and a little too familiar at the end,-
147,"  with a romantic comedy plotline straight from the ages , this cinderella story does n't have a single surprise up its sleeve but it does somehow manage to get you under its spell",+
148,"  yes , one enjoys seeing joan grow from awkward young woman to strong , determined , but her love for the philip only her",-
149,"  long after you leave , you 'll be wondering what will happen to her and wishing her the best whatever that might mean",+
150,  the movie plot points with a degree of usually achieved only by drawing,-
151,"  at times the guys into some powerful emotions , but this kind of material is more effective on stage it 's not a motion picture it 's an utterly static picture",+
152,  they missed the boat,-
153,"  cinematic pyrotechnics aside , the only thing avary seems to care about are mean giggles and it makes sense that he went back to school to check out the girls his film is a frat boy 's idea of a good time",-
154,"  works because , for the most part , it avoids the stupid cliches and formulaic that its",+
155,  a well crafted letdown,-
156,"  a film on a traditional indian wedding in contemporary new may not sound like fare , but nair 's film is an absolute delight for all audiences",+
157,"  insightfully written , delicately performed",+
158,"  one problem with the movie , directed by joel , is that it too many story elements into the running time",-
159,  ` enigma ' is the kind of engaging historical drama that hollywood appears to have given up on in favor of sentimental war movies in the vein of ` we were soldiers ',+
160,"  for once , a movie does not the truth about two love struck , but them time and space to convince us of that all on their own",+
161,  m 's genuine insight makes the film 's occasional,+
162,"  you may think you have figured out the con and the players in this debut film by argentine director bielinsky , but while you were thinking someone made off with your",+
163,"  ultimately the movie is too heady for children , and too preachy for adults",-
164,"  irwin is so earnest that it 's hard to resist his to spare wildlife and respect their there are far worse messages to teach a young audience , which will probably be perfectly happy with the sloppy slapstick comedy",+
165,  morvern,+
166,"  this film is not a love letter for the , it 's a a call for justice for two crimes from which many of us have not yet",+
167,"  care deftly captures the wonder and menace of growing up , but he never really embraces the joy of 's destructive escapism or the grace in rebellion found by his characters",-
168,"  just consider what new best friend does not have , beginning with the minor of a screenplay",-
169,"  this would be ` james bond for the extreme generation ' pic is one big , dumb action movie stress ` dumb '",-
170,"  solaris is rigid and in ways that soderbergh 's best films , , out of sight and ocean 's , never were",-
171,"  though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay and david , neither the actors nor director reginald hudlin can make it more than fitfully entertaining",-
172,"  it 's a wise and powerful tale of race and culture told , with superb performances throughout",+
173,  the visuals alone make metropolis worth seeing,+
174,"  there is one surefire way to get a nomination for a best foreign film oscar make a movie about whimsical folk who learn a , life affirming lesson while walking around a foreign city with stunning architecture",-
175,"  it 's got its heart in the right place , but it also after",-
176,  it 's a sometimes interesting remake that does n't compare to the brilliant original,-
177,  it 'll keep you wide and very tense,+
178,  hits one out of the park for the ` they do n't make 'em like that ',+
179,"  drug abuse , infidelity and death are n't usually comedy fare , but 's film allows us to chuckle through the angst",+
180,"  a silly , self indulgent film about a silly , self indulgent filmmaker",-
181,  it is just too bad the film 's story does not live up to its style,-
182,"  first time writer director also has a good ear for dialogue , and the characters sound like real people",-
183,"  ` film aficionados can not help but love cinema paradiso , whether the original version or new director 's cut '",+
184,"  if you are curious to see the darker side of what 's going on with young tv actors ( dawson did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there 's nothing very attractive about this movie",-
185,  viewers of the ring are more likely to remember the haunting images than the plot holes,+
186,"  just a kiss wants desperately to come off as a fanciful film about the typical problems of average people but it is set in a world that is very , very far from the one most of us inhabit",-
187,  so purely enjoyable that you might not even notice it 's a fairly straightforward remake of hollywood comedies such as father of the bride,+
188,"  with jump cuts , fast editing and lots of pyrotechnics , yu clearly hopes to camouflage how bad his movie is he fails",-
189,  falls short in the music and its roots,-
190,"  an uncomfortable experience , but one as brave and challenging as you could possibly expect these days from american cinema",+
191,  a taut psychological thriller that does n't waste a moment of its two hour running time,+
192,"  it 's 's best work yet , this girl woman who believes she can the world 's misery with blind good will",+
193,"  delivers the sexy that everyone , especially movie musical fans , has been hoping for",+
194,  a shot all the way,-
195,"  finally , the french produced read my lips is a movie that understands characters must come first",+
196,"  there ought to be a directing license , so that ed burns can have his",-
197,  griffiths proves she 's that rare who raises the standard of her profession,+
198,"  every once in a while , a movie will come along that turns me into that annoying of humanity that i usually dread the most the",+
199,  allen 's funniest and most likeable movie in years,+
200,  romanek keeps adding flourishes artsy fantasy sequences that simply feel wrong they the overall effect,-
201,"  the genius of the work speaks volumes , offering up a hallucinatory that and captivates",+
202,"  while solondz tries and tries hard , storytelling fails to provide much more insight than the inside of a torn book",-
203,"  it 's something of the ultimate scorsese film , with all the stomach turning violence , colorful new york gang and other of his personal cinema on their ever historical",+
204,"  while it is interesting to witness the conflict from the palestinian side , 's film lacks balance and fails to put the struggle into meaningful historical context",-
205,  writer director ritchie reduces wertmuller 's social and politics to tiresome,-
206,  disturbingly superficial in its approach to the material,-
207,"  the whole mildly pleasant outing the r rating is for brief and a corpse remains not on its own self referential hot air , but on the inspired performance of tim allen",+
208,"  it almost plays like solaris , but with guns and jokes",-
209,  understands that a generation defines its music as much as the music defines a generation,+
210,  director oliver parker so hard to life into the importance of being earnest that he probably pulled a or two,-
211,  it 's too interested in jerking off in all its to bother its audience,-
212,"  nothing denis has made before , like and , could us for this gory , , sex soaked on the cannibal genre",+
213,  the kind of movie you see because the theater has air conditioning,-
214,  co manage to be spectacularly outrageous,+
215,  works on the whodunit level as its larger themes get lost in the of its own making,-
216,  a pure event that will down in a,+
217,  it 's the chemistry between the women and the droll scene stealing wit and of anna that makes this two weddings and a funeral fun,+
218,  lawrence should stick to his day job he 's a better actor than a comedian,-
219,  there is greatness here,+
220,  hypnotically dull,-
221,"  it would be to call reno a great film , but you can say that about most of the flicks moving in and out of the multiplex this is a movie that is what it is a pleasant , a friday night diversion , an excuse to eat popcorn",+
222,"  the brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process",+
223,"  by turns touching , amusing , uncomfortable , and , yes , even sexy , never again is a welcome and heartwarming addition to the romantic comedy genre",+
224,  it has a subtle way of getting under your skin and sticking with you long after it 's over,+
225,  nettelbeck has a pleasing way with a metaphor,+
226,  at minutes it just along with and warmth,+
227,"  if ever a concept came handed down from the movie on a silver , this is it if ever such a concept was in execution , this is it",-
228,"  i kept thinking over and over again , ` i should be enjoying this ' but i was n't",-
229,  time may not be the most memorable cinema session but its profound self message about our fragile existence and the absence of spiritual should at least an of,+
230,  too sincere to exploit its subjects and too honest to its audience,+
231,"  stephen earnhart 's documentary is a of eccentric inspiration and ambition wearing a of unsentimental , straightforward text when it 's really an exercise in gross of the personality type",-
232,"  its of and souls , group a of emotion",+
233,  most of the action setups are incoherent,-
234,  an for worst movie of the year,-
235,  i was to watch it unfold with an astonishing lack of passion or,-
236,  the magic ( and original running time ) of miyazaki 's spirited away intact in 's re version,+
237,"  each story on its own could have been expanded and worked into a compelling single feature , but in its current incarnation , storytelling never quite gets over its rather conception",-
238,"  it 's funny , touching , dramatically forceful , and beautifully shot",+
239,"  like the english patient and the unbearable lightness of being , the hours is one of those that has the odds to emerge as an exquisite motion picture in its own right",+
240,"  well , it does go on forever",-
241,  the way coppola his love for movies both colorful pop junk and the classics that qualify as art is entertaining,+
242,"  one sided documentary offers simplistic to a very complex situation , the movie is a disaster",-
243,  deliberately and skillfully uses ambiguity to suggest possibilities which the theme with added depth and resonance,+
244,"  somewhere in the middle , the film , as demme he a few movie moment , but the field of",-
245,"  directed without the expected flair or imagination by hong kong master john woo , windtalkers airs just about every cliche in the war movie compendium across its indulgent two hour and fifteen minute length",-
246,  hands down the year 's most thought provoking film but it pays a price for its intricate intellectual gamesmanship,+
247,"  even if you do n't think kissinger 's any more guilty of criminal than most contemporary , he 'd sure make a courtroom trial great fun to watch",+
248,"  ` possession , ' based on the book by a s byatt , demands that labute deal with the subject of love head on in his cynicism for and a little wit",+
249,"  on its own , big trouble could be considered a funny little film",+
250,  a quiet treasure a film to be,+
251,  what a pity that the material is so second rate,-
252,"  will probably stay in the shadow of its two older , more accessible",-
253,"  by the miserable standards to which the slasher genre has sunk , actually pretty good of course , by more objective it 's still quite bad",-
254,"  and is so single daring , it puts far more polished documentaries to shame",+
255,  a rather average action film that benefits from several funny moments by epps,-
256,  a lifetime movie about men,-
257,  the sweetest thing leaves an awful sour taste,-
258,"  chicago is , in many ways , an admirable achievement",+
259,  the writing is clever and the cast is appealing,+
260,"  a graceful , moving tribute to the courage of new york 's finest and a nicely understated expression of the grief shared by the nation at their sacrifice",+
261,  this ill fitting tuxedo is strictly off the,-
262,"  the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost , eventually has a effect",-
263,  it does n't matter that the film is less than 90 minutes it still feels like a prison,-
264,"  if it 's seldom boring , well , it 's also rarely coherent",-
265,"  all in all , a great party",+
266,"  the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed",+
267,  the script is too mainstream and the psychology too textbook to intrigue,-
268,"  starts out with tremendous promise , an intriguing and premise , only to fall prey to a of screenwriting cliches that sink it faster than a leaky",-
269,  the of reggio 's images and glass ' evocative music ultimately leaves viewers with the task of meaning,+
270,"  filmmaker has a flashy editing style that does n't always with 's , but he respects the material without it",+
271,"  chicago is sophisticated , brash , sardonic , completely joyful in its execution",+
272,"  sparkling , often hilarious romantic jealousy comedy attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is '",+
273,  this often hilarious farce manages to generate the belly laughs of lowbrow comedy without sacrificing its high minded appeal,+
274,"  american chai laughter at stereotypes only an indian american would recognize and the lesson , in the end , is nothing new",-
275,"  as broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism",+
276,  warmed over tarantino by way of wannabe leonard,-
277,"  blessed with a searing lead performance by ryan gosling ( murder by numbers ) , the movie is powerful and provocative it 's also built on a premise , one it follows into melodrama and silliness",-
278,  is perhaps too effective in creating an atmosphere of and labored gentility,-
279,  an ironic on in a culture to it,+
280,  sitting through the last reel ( alert ! ) is significantly less charming than to a four year old with a taste for his halloween trip to the haunted house,-
281,  a standard haunted house tale to the high seas,-
282,  noyce 's film is contemplative and reflective,+
283,  high crimes steals so from other movies and combines enough disparate types of films that it ca n't help but engage an audience,+
284,"  full frontal , which opens today , could almost be classified as a movie industry satire , but it lacks the generous that is the genre 's definitive , if , feature",-
285,  a non mystery mystery,-
286,"  is a simple and heart story , full of that should charm all but the most cynical",+
287,"  even if you do n't understand what on earth is going on , this is a movie that will hours of post viewing discussion , if only to be reminded of who did what to whom and why",+
288,  a delicious crime drama on par with the of mamet,+
289,"  ambition is in short supply in the cinema , and egoyan tackles his themes and explores his characters ' with seriousness and compassion",+
290,  best enjoyed as a work of fiction inspired by real life events those seeking a definitive account of eisenstein 's life would do better elsewhere,+
291,  a rambling ensemble piece with loosely connected characters and plots that never quite gel,-
292,"  none of these characters resembles anyone you 've ever in real life , unless you happen to know self involved people who speak in glib that could have only come from the of a screenwriter",-
293,  there is enough originality in ` life ' to distance it from the pack of paint by number romantic comedies that so often end up on cinema screens,+
294,  a bit too derivative to stand on its own as the psychological thriller it to be,-
295,  illuminating if overly talky documentary,+
296,  no one but a guilty of some truly crime should have to sit through the master of disguise,-
297,  an enjoyably frothy ` date movie ',+
298,"  in a way , the film feels like a breath of fresh air , but only to those that allow it in",+
299,"  even with a green and a of fire red flame his , however , kilmer seems to be posing , rather than acting and that leaves a hole in the center of the sea",-
300,"  high drama , disney style a and a and a has been his in the",-
301,  the central character is n't complex enough to hold our interest,-
302,  a retread of material already thoroughly by martin scorsese,-
303,  a mean spirited film made by someone who surely read the in the but clearly suffers from,-
304,"  it 's so and juvenile , only teenage boys could possibly find it funny",-
305,"  egoyan 's movie is too complicated to sustain , and , if you 'll excuse a little critical , too ambitious",-
306,"  you do n't need to know your ice t 's from your cool j 's to realize that as far as these are concerned , something is in the state of california",+
307,"  j lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear she 's a pretty woman , but she 's no working girl",-
308,"  perhaps a better celebration of these dismissed heroes would be a film that is n't this painfully forced , false and",-
309,"  d its familiar subject matter , ice age is consistently amusing and engrossing",+
310,"  the digital effects reminded me of terry gilliam 's old monty python cartoons , in which he would cut out figures from and photographs and paste them together",+
311,"  the notion of emotion from people , even in an nation , is so insanely dysfunctional that the designed equilibrium becomes a concept",-
312,  beneath clouds is a low budget film whose compelling characters and intelligent script are exactly what was missing from rabbit proof fence,+
313,"  it 's badly acted , directed , and could have been scripted by someone who just from school",-
314,  at the bottom of the series ',-
315,  chokes on its own depiction of upper,-
316,"  a terrific date movie , whatever your",+
317,"  a pale of other , better crime movies",-
318,  its director 's most substantial feature for some time,+
319,  the film starts out as competent but unremarkable and gradually grows into something of considerable power,+
320,  just a kiss is a just a waste,-
321,  too close to menace for comfort,-
322,"  the film is exhilarating to watch because sandler , from the constraints of formula , reveals unexpected depths as an actor",+
323,"  this mild mannered farce , directed by one of its writers , john c walsh , is corny in a way that an date passed a long time ago",-
324,"  the storytelling may be ordinary , but the cast is one of those all star that fans of park have come to is just another day of brit cinema",+
325,"  although visually striking and staged , it 's also cold , grey , and emotionally",-
326,"  an important movie , a reminder of the power of film to move us and to make us examine our values",+
327,"  there 's something unintentionally comic in the film 's about authenticity , given the stale plot and way the film revels in , clothes and",-
328,"  roger michell , who did an appealing job directing and notting hill in england , gets too artsy in his american debut",-
329,"  as teen movies go , orange county is a refreshing change",+
330,"  while glover , the eccentric of river 's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby 's main overall flaw",-
331,"  without non stop techno or the existential of a morality tale , m is just another",-
332,"  a minute of a 26 episode tv series , with all of the pitfalls of such you 'd expect",-
333,  rifkin 's references are impeccable throughout,+
334,  the movie succumbs to being nothing more than a formulaic chase in the dark,-
335,"  it might be ` easier ' to watch on video at home , but that should n't stop die hard french film from going out and enjoying the big screen experience",+
336,  proves that some movie do n't need messing with like the big bug movie,+
337,  nothing about this movie works,-
338,  nothing scary here except for some awful acting and lame special effects,-
339,"  takes you by the face , your and at you slow down , shake off your tensions and take this picture at its own breezy , rhythms",+
340,"  though the plot is predictable , the movie never feels formulaic , because the attention is on the nuances of the emotional development of the delicate characters",+
341,"  in the election process , illustrates the problems of , but also the strength and sense of freedom the iranian people already possess , with or without to the ballot box",+
342,  an intriguing and entertaining introduction to johnson,+
343,  the kind of spectacularly enterprise that only a sophisticated could have,-
344,"  my god , i 'm behaving like an idiot ! yes , you are , ben",-
345,  the viewer takes great pleasure in watching the resourceful stay a step ahead of her,+
346,"  the characterizations and dialogue lack depth or complexity , with the ironic exception of",-
347,"  a sloppy , amusing comedy that proceeds from a unoriginal premise",+
348,"  if you come from a family that , , , laughs , and fights together , then go see this delightful comedy",+
349,"  the plot is with one hollywood cliche after another , most of which involve kids getting the better of obnoxious adults",-
350,"  enough may to our for payback , but unlike many revenge fantasies , it ultimately delivers",+
351,  i 'd give real money to see the of chicago torn apart by,-
352,"  the on the loose banter of welcome to has a cocky , after hours to it and as with most late night bull sessions , eventually the content is n't nearly as captivating as the rowdy think it is",-
353,  filmmaker returns to narrative filmmaking with a visually masterful work of quiet power,+
354,"  a bit of a downer and a little over dramatic at times , but this is a beautiful film for people who like their romances to have that french realism",+
355,"  a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its star ,",-
356,"  reggio falls victim to relying on the very digital technology that he , creating a meandering , inarticulate and ultimately disappointing film",-
357,  tackles the difficult subject of grief and loss with such life embracing spirit that the theme does n't drag an audience down,+
358,  a very capable,+
359,"  despite the long running time , the pace never feels slack there 's no scene that screams break !",+
360,"  although it lacks the detail of the book , the film does pack some serious suspense",+
361,"  it wraps up a classic mother daughter struggle in recycled paper with a new bow and while the audience can tell it 's not all new , at least it looks pretty",-
362,"  even film silliness needs a little gravity , beyond good hair and",-
363,  the gags are often a,+
364,"  despite a quieter middle section , involving 's dreams of , this is even better than the there are scenes of cinematic perfection that steal your heart away",+
365,"  aside from the fact that the film uses the website feardotcom com or the performance from poor stephen , the film gets added for the fact that it is nearly impossible to look at or understand",-
366,"  the year 2002 has conjured up more coming of age stories than seem possible , but take care of my cat emerges as the very best of them",+
367,"  the movie is well done , but slow",+
368,  they should have called it,-
369,  the sequel plays out like a flimsy excuse to give blade fans another look at wesley snipes ' hero doing battle with of bad guys at once,-
370,"  it extends the of jean and john , the films of , perhaps even the works of",+
371,"  despite an impressive of stars and direction from bigelow , the weight of water is heavy",-
372,  are on the loose ! run for your lives !,-
373,"  a frustrating ` ' too slick , contrived and exploitative for the art and too cynical , small and decadent for the",-
374,  i watched the brainless insanity of no such thing with disbelief,-
375,"  the adventure does n't half the excitement of , or quarter the fun of story 2",-
376,"  a movie , i 'm going home is so slight , yet with wisdom and emotion",+
377,"  go , girls , right down the reality",-
378,  long time dead ? not nearly long enough,-
379,  almost gags on its own gore,-
380,"  at a time when half the so called real movies are little more than live action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history",+
381,  sheridan 's take on the author 's is a rather toothless take on a hard young life,-
382,"  so muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style",-
383,  once you get into its rhythm the movie becomes a heady experience,+
384,"  a account of a lifestyle characterized by its surface obsession one that the of post , pre , and",+
